step,train_loss,val_loss,lr,elapsed_s
200,3.5289571285247803,4.10237455368042,0.0003,64.00451183319092
400,2.860478401184082,3.6771364212036133,0.00029956223659811845,118.80712652206421
600,2.5404934883117676,3.3888628482818604,0.00029825178545611847,173.86336970329285
800,2.241844892501831,3.1273486614227295,0.0002960771453525167,228.83521008491516
1000,2.0171566009521484,2.912459373474121,0.0002930524196628646,283.87977743148804
1200,1.801234483718872,2.7073919773101807,0.0002891972248939414,338.714231967926
1400,1.6765856742858887,2.5654983520507812,0.0002845365634631834,393.70527052879333
1600,1.5883727073669434,2.530965805053711,0.0002791006615484125,448.78405928611755
1800,1.4952607154846191,2.466864824295044,0.00027292477305947355,503.69120168685913
2000,1.4654899835586548,2.4037554264068604,0.0002660489510031024,558.7278637886047
2200,1.4241389036178589,2.3387906551361084,0.0002585177877238026,613.6335632801056
2400,1.385657548904419,2.3391776084899902,0.00025038012570538493,668.543705701828
2600,1.358677864074707,2.3025460243225098,0.0002416887408087166,722.7663714885712
2800,1.2986669540405273,2.278601884841919,0.00023250000000000996,777.7998824119568
